ride_id,date,duration_min,distance_km,avg_power_W,NP_W,IF,TSS,max_power_W,avg_hr,max_hr,avg_cadence,max_cadence,trimp,cci_kj,total_met_min
Engine_on_nobody_s_driving,2025-05-24,230.61666666666667,113.80307,184.523720333828,201.72527495198665,0.8069010998079464,226.79579198282553,544.1050767831771,140.87594666405082,171.0,77.61259185866372,138.0,483.7286107469982,45.83818144031428,2669.0744588048456
Day_3,2025-06-06,223.38333333333333,101.2732,166.37285275273985,191.5886304393934,0.6386287681313113,132.14299418378715,541.8814069842776,154.39118239948598,178.0,68.74645077123782,133.0,651.8033196673259,55.67898122018953,2940.54415235355
Found_America,2025-06-07,371.76666666666665,183.77094,161.67661083033474,182.24900423911777,0.7289960169564711,293.75340037969653,553.6918654429584,156.08898734957265,185.0,74.00118438506728,133.0,1098.447924806656,57.926370381442815,4968.0704937638575
test2,2025-06-22,234.35,135.36156,,,,,,,,,,,,
Baker_City_Stage_4_,2025-06-22,234.35,135.36156,,,,,,,,,,,,
test,2025-06-27,169.83333333333334,85.2116,185.66885270258567,203.3732365688304,0.677910788562768,118.71907148934626,565.0275195214075,144.5496678142453,164.0,73.28467297084319,128.0,391.54977174226497,46.71208952180883,2038.9923824061957
Rippa_with_PA,2025-06-27,169.83333333333334,85.2116,185.66885270258567,203.3732365688304,0.677910788562768,118.71907148934626,565.0275195214075,144.5496678142453,164.0,73.28467297084319,128.0,391.54977174226497,46.71208952180883,2038.9923824061957
Truckee_Gravel_6th,2025-06-28,315.4666666666667,164.25575,193.529577162073,223.03107457662665,0.7434369152554222,250.38999657525628,688.6613893111148,159.5906594077885,180.0,74.59359644951657,133.0,1031.4936825701154,49.47791291068795,4345.670590726708
