start_time,end_time,duration_s,avg_power_w,power_wkg,peak_5s_w,peak_30s_w,normalized_power_w,avg_hr_bpm,max_hr_bpm,power_hr_ratio,avg_hr_pct_lthr,power_zone,work_kj,pct_in_target,variability_index_vi,intensity_factor_if,tss,hr_drift_pct,pw_hr_decoupling_pct,efficiency_factor_ef,hr_recovery_60s_bpm,duration_bucket_s,effort_key,effort_family,pr_flag,kj_per_min,avg_cadence_rpm,coasting_percent,distance_m,avg_speed_mps,elevation_gain_m,label
2025-04-03 17:18:48,2025-04-03 17:29:29,642.0,105.60530421216849,1.5086472030309785,266.4,193.26666666666668,130.49766451467232,,,,,Z1 Active Recovery,67.693,6.5420560747663545,1.2357112693174324,0.5219906580586893,4.859124073293025,,,,,660,Z1_11m,Z1_10m,,6.326448598130841,51.28861154446178,25.077881619937692,4345.79,6.745330218068537,36.999999999999886,lap
2025-04-03 17:29:29,2025-04-03 17:34:28,300.0,226.08333333333334,3.229761904761905,275.6,255.36666666666667,226.77955025983127,,,,,Z4 Threshold,67.825,85.66666666666667,1.0030794703715353,0.9071182010393251,6.857195255473511,,,,,300,Z4_5m,Z4_4m,,13.565000000000001,89.32,0.0,3394.0600000000004,11.291783333333333,1.6000000000000227,lap
2025-04-03 17:34:28,2025-04-03 17:41:28,421.0,142.1671924290221,2.030959891843173,248.4,174.56666666666666,145.40476899076322,,,,,Z2 Endurance,45.067,45.843230403800476,1.0227730217248083,0.5816190759630528,3.956005431934794,,,,,420,Z2_7m,Z2_8m,,6.4228503562945365,75.60493827160494,2.6128266033254155,2460.8199999999997,7.597089506172839,17.600000000000023,lap
2025-04-03 17:41:28,2025-04-03 17:46:28,301.0,231.06976744186048,3.300996677740864,261.2,243.13333333333333,230.96938098189037,,,,,Z4 Threshold,69.552,86.71096345514951,0.9995655577919973,0.9238775239275615,7.136623706799308,,,,,300,Z4_5m,Z4_6m,,13.86418604651163,91.56478405315615,0.0,3229.5200000000004,10.672146179401993,13.400000000000091,lap
2025-04-03 17:46:28,2025-04-03 17:51:29,302.0,151.68543046357615,2.166934720908231,253.6,181.96666666666667,149.97064891433192,,,,,Z2 Endurance,45.809,51.98675496688742,0.9886951466333742,0.5998825956573277,3.0188182452476955,,,,,300,Z2_5m,Z2_6m,,9.101125827814569,84.94701986754967,0.9933774834437087,2563.959999999999,8.41310927152318,15.60000000000008,lap
2025-04-03 17:51:29,2025-04-03 17:52:09,41.0,406.0243902439024,5.800348432055749,472.2,405.8,403.5047591628879,,,,,Z7 Neuromuscular,16.647,65.85365853658537,0.9937943849149039,1.6140190366515517,2.966870985489381,,,,,30,Z7_30s,Z7_40s,,24.361463414634144,88.63414634146342,0.0,426.85999999999876,10.544170731707316,6.0,lap
2025-04-03 17:52:09,2025-04-03 17:52:29,21.0,167.1904761904762,2.38843537414966,271.2,370.0,167.1904761904762,,,,,Z2 Endurance,3.511,23.809523809523807,1.0,0.6687619047619048,0.26089144973544975,,,,,30,Z2_30s,Z2_20s,,10.031428571428572,64.52380952380952,0.0,115.14000000000306,5.7214761904761895,4.599999999999966,lap
2025-04-03 17:52:29,2025-04-03 17:53:08,40.0,374.6,5.351428571428571,423.0,399.6333333333333,392.7179621369654,,,,,Z6 Anaerobic,14.984,67.5,1.0483661562652573,1.5708718485478617,2.7418204050668624,,,,,30,Z6_30s,Z6_40s,,22.476000000000003,98.025,0.0,463.25,10.960825,0.0,lap
2025-04-03 17:53:08,2025-04-03 17:53:28,21.0,132.1904761904762,1.88843537414966,258.6,391.0,132.1904761904762,,,,,Z1 Active Recovery,2.776,19.047619047619047,1.0,0.5287619047619048,0.16309367195767197,,,,,30,Z1_30s,Z1_20s,,7.9314285714285715,91.47619047619048,0.0,228.0,11.461857142857143,0.39999999999997726,lap
2025-04-03 17:53:28,2025-04-03 17:54:08,41.0,390.3170731707317,5.57595818815331,457.0,402.43333333333334,395.6221103481089,,,,,Z7 Neuromuscular,16.003,70.73170731707317,1.0135916093402777,1.5824884413924356,2.852084898687974,,,,,30,Z7_30s,Z7_40s,,23.4190243902439,94.82926829268293,0.0,459.9499999999971,11.309756097560975,2.0,lap
2025-04-03 17:54:08,2025-04-03 17:54:28,21.0,156.95238095238096,2.2421768707482994,347.6,437.0,156.95238095238096,,,,,Z2 Endurance,3.296,14.285714285714285,1.0,0.6278095238095238,0.22991779894179892,,,,,30,Z2_30s,Z2_20s,,9.417142857142856,93.66666666666667,0.0,177.4200000000019,8.89857142857143,2.0,lap
2025-04-03 17:54:28,2025-04-03 17:55:08,41.0,405.1707317073171,5.78815331010453,465.8,417.8333333333333,411.58598176753736,,,,,Z7 Neuromuscular,16.612,73.17073170731707,1.015833448860404,1.6463439270701494,3.086899482617534,,,,,30,Z7_30s,Z7_40s,,24.310243902439023,97.73170731707317,0.0,417.7000000000007,10.234682926829267,4.7999999999999545,lap
2025-04-03 17:55:08,2025-04-03 17:55:28,21.0,140.95238095238096,2.0136054421768708,374.4,424.0,140.95238095238096,,,,,Z2 Endurance,2.96,19.047619047619047,1.0,0.5638095238095239,0.18543068783068786,,,,,30,Z2_30s,Z2_20s,,8.457142857142857,72.38095238095238,23.809523809523807,177.27999999999884,8.942999999999998,2.400000000000034,lap
