set_label,template_signature,num_intervals,cv_pct,fade_pct,hr_drift_pct,recovery_hr_drop_bpm,total_work_kj,avg_within_interval_hr_drift_pct,avg_pw_hr_decoupling_pct
2x5 VO2,2x5@VO2,2,1.5425647845767645,-2.2055735091163147,,,137.377,,
2x5 VO2,2x5@VO2,2,4.988546385724038,6.814493140628904,,,88.35499999999999,,
8x40/20,8x40/20,8,3.065215758508227,2.1685588995013996,,,128.69400000000002,,
3x20/170,3x20/170,3,4.587553691563215,-2.734263742523488,,,10.414000000000001,,
4x20/105,4x20/105,4,7.867099288773859,11.959654178674361,,,10.968,,
2x15,2x15,2,2.1529045001786677,-3.0917332293494217,,,372.456,,
7x30/30,7x30/30,7,2.4762883802043225,0.7421150278293067,,,88.02099999999999,,
5x30/60,5x30/60,5,6.792505967597096,-7.977147693609835,,,23.804000000000002,,
2x30/150,2x30/150,2,2.7112524271804674,-3.909235668789808,,,7.557,,
7x20/40,7x20/40,7,3.564465772890308,-1.2508528542187862,,,62.831999999999994,,
6x40/30,6x40/30,6,4.91043020370638,-7.061126166817224,,,41.745,,
2x40/200,2x40/200,2,2.1261764255191546,-3.0527638190954676,,,16.163,,
