workout_date,effort_key,best_peak_5s_w,best_peak_30s_w,best_avg_power_w,peak5_28d_ma,peak30_28d_ma,avgp_28d_ma,peak5_wow_pct,peak30_wow_pct,avgp_wow_pct
2025-04-03,Z6_30s,423.0,399.6333333333333,374.6,,,,,,
2025-04-03,Z7_30s,683.4,696.0,561.6666666666666,,,,,,
