set_label,template_signature,num_intervals,cv_pct,fade_pct,hr_drift_pct,recovery_hr_drop_bpm,total_work_kj,avg_within_interval_hr_drift_pct,avg_pw_hr_decoupling_pct,workout_category
2x5 VO2,2x5@VO2,2,1.5425647845767645,-2.2055735091163147,,,137.377,,,vo2-short
2x5 VO2,2x5@VO2,2,4.988546385724038,6.814493140628904,,,88.35499999999999,,,vo2-short
8x40/20,8x40/20,8,3.065215758508227,2.1685588995013996,,,128.69400000000002,,,vo2-short
3x20/170,3x20/170,3,4.587553691563215,-2.734263742523488,,,10.414,,,vo2-short
4x20/105,4x20/105,4,7.867099288773859,11.95965417867436,,,10.968,,,vo2-short
2x15,2x15,2,2.1529045001786677,-3.0917332293494217,,,372.456,,,vo2-short
7x30/30,7x30/30,7,2.4762883802043225,0.7421150278293067,,,88.02099999999999,,,vo2-short
5x30/60,5x30/60,5,6.792505967597096,-7.977147693609835,,,23.804,,,vo2-short
2x30/150,2x30/150,2,2.711252427180467,-3.909235668789808,,,7.557,,,vo2-short
7x20/40,7x20/40,7,3.564465772890308,-1.2508528542187862,,,62.831999999999994,,,vo2-short
6x40/30,6x40/30,6,4.91043020370638,-7.061126166817224,,,41.745,,,vo2-short
2x40/200,2x40/200,2,2.126176425519154,-3.0527638190954676,,,16.163,,,vo2-short
2x30,2x30,2,8.603197629120594,-12.954851534269292,4.550011014140678,0.0,699.883,-2.5256154903892285,-7.294599443518085,tempo
2x31,2x31,2,3.522684049621757,-5.109090600708887,3.570126875576206,5.199999999999989,946.513,4.544531661141416,2.4520124158256773,tempo
2x30,2x30,2,1.0569532441662552,-1.5060132364441248,-1.1160029067721071,4.599999999999994,966.139,0.6322475410786267,0.2796826263762486,tempo
